,Entity,Code,Day,Cases,Deaths,Disease
113,India,IND,2020-04-27,0.0,0.0,Covid-19
114,India,IND,2020-04-28,0.0,0.0,Covid-19
115,India,IND,2020-04-29,0.0,0.0,Covid-19
116,India,IND,2020-04-30,0.0,0.0,Covid-19
117,India,IND,2020-05-01,0.0,0.0,Covid-19
118,India,IND,2020-05-02,0.0,0.0,Covid-19
119,India,IND,2020-05-03,13484.0,477.0,Covid-19
120,India,IND,2020-05-04,0.0,0.0,Covid-19
121,India,IND,2020-05-05,0.0,0.0,Covid-19
122,India,IND,2020-05-06,0.0,0.0,Covid-19
123,India,IND,2020-05-07,0.0,0.0,Covid-19
124,India,IND,2020-05-08,0.0,0.0,Covid-19
125,India,IND,2020-05-09,0.0,0.0,Covid-19
126,India,IND,2020-05-10,22959.0,808.0,Covid-19
127,India,IND,2020-05-11,0.0,0.0,Covid-19
128,India,IND,2020-05-12,0.0,0.0,Covid-19
129,India,IND,2020-05-13,0.0,0.0,Covid-19
130,India,IND,2020-05-14,0.0,0.0,Covid-19
131,India,IND,2020-05-15,0.0,0.0,Covid-19
132,India,IND,2020-05-16,0.0,0.0,Covid-19
133,India,IND,2020-05-17,27988.0,763.0,Covid-19
134,India,IND,2020-05-18,0.0,0.0,Covid-19
135,India,IND,2020-05-19,0.0,0.0,Covid-19
136,India,IND,2020-05-20,0.0,0.0,Covid-19
137,India,IND,2020-05-21,0.0,0.0,Covid-19
138,India,IND,2020-05-22,0.0,0.0,Covid-19
139,India,IND,2020-05-23,0.0,0.0,Covid-19
140,India,IND,2020-05-24,40941.0,995.0,Covid-19
141,India,IND,2020-05-25,0.0,0.0,Covid-19
142,India,IND,2020-05-26,0.0,0.0,Covid-19
143,India,IND,2020-05-27,0.0,0.0,Covid-19
144,India,IND,2020-05-28,0.0,0.0,Covid-19
145,India,IND,2020-05-29,0.0,0.0,Covid-19
146,India,IND,2020-05-30,0.0,0.0,Covid-19
147,India,IND,2020-05-31,50275.0,1297.0,Covid-19
148,India,IND,2020-06-01,0.0,0.0,Covid-19
149,India,IND,2020-06-02,0.0,0.0,Covid-19
150,India,IND,2020-06-03,0.0,0.0,Covid-19
151,India,IND,2020-06-04,0.0,0.0,Covid-19
152,India,IND,2020-06-05,0.0,0.0,Covid-19
153,India,IND,2020-06-06,0.0,0.0,Covid-19
154,India,IND,2020-06-07,64485.0,1765.0,Covid-19
